Question,Text
How did Catholics treat Jews in medieval and early modern Europe?,"are celebrated and enjoyed by all Indians. Most Roman Catholic kingdoms kept a tight rein on religious expression throughout the Middle Ages. Jews were alternately tolerated and persecuted, the most notable examples of the latter being the expulsion of all Jews from Spain in 1492. Some of those who remained and converted were tried as heretics in the Inquisition for allegedly practicing Judaism in secret. Despite the persecution of Jews, they were the most tolerated non-Catholic faith in Europe. However, the latter was in part a reaction to the growing movement that became the Reformation."
What role did traditionalism play in the rise of a modernism philosophy?,":132

Important literary precursors of modernism were Fyodor Dostoyevsky , who wrote the novels Crime and Punishment and The Brothers Karamazov ; Walt Whitman , who published the poetry collection Leaves of Grass ; and August Strindberg , especially his later plays, including the trilogy To Damascus 1898-1901, A Dream Play and The Ghost Sonata . Henry James has also been suggested as a significant precursor, in a work as early as The Portrait of a Lady . Out of the collision of ideals derived from Romanticism, and an attempt to find a way for knowledge to explain that which was as yet unknown, came the first wave of works in the first decade of the 20th century, which, while their authors considered them extensions of existing trends in art, broke the implicit contract with the general public that artists were the interpreters and representatives of bourgeois culture and ideas. These ""Modernist"" landmarks include the atonal ending of Arnold Schoenberg's Second String Quartet in 1908, the expressionist paintings of Wassily Kandinsky starting in 1903, and culminating with his first abstract painting and the founding of the Blue Rider group in Munich in 1911, and the rise of fauvism and the inventions of cubism from the studios of Henri Matisse, Pablo Picasso, Georges Braque, and others, in the years between 1900 and 1910. An important aspect of modernism is how it relates to tradition through its adoption of techniques like reprise, incorporation, rewriting, recapitulation, revision and parody in new forms. T. S. Eliot made significant comments on the relation of the artist to tradition, including: ""[W]e shall often find that not only the best, but the most individual parts of [a poet's] work, may be those in which the dead poets, his ancestors, assert their immortality most vigorously."""
Why do some members of the LGBT community not want to be part of the community?,"Since this faction is difficult to distinguish from the heterosexual majority, it is common for people to assume all LGBT people support LGBT liberation and the visibility of LGBT people in society, including the right to live one's life in a different way from the majority. In the 1996 book Anti-Gay, a collection of essays edited by Mark Simpson, the concept of a 'one-size-fits-all' identity based on LGBT stereotypes is criticized for suppressing the individuality of LGBT people. Writing in the BBC News Magazine in 2014, Julie Bindel questions whether the various gender groupings now, ""bracketed together"" . . . ""share the same issues, values and goals?"""
What major events defined the 19th century for Budapest?,"Due to the prosperity and the large Jewish community of the city at the start of the 20th century, Budapest was often called the ""Jewish Mecca"" or ""Judapest"". In 1918, Austria-Hungary lost the war and collapsed; Hungary declared itself an independent republic . In 1920 the Treaty of Trianon partitioned the country, and as a result, Hungary lost over two-thirds of its territory, and about two-thirds of its inhabitants, including 3.3 million out of 15 million ethnic Hungarians. In 1944, about one year before the end of World War II, Budapest was partly destroyed by British and American air raids . From 24 December 1944 to 13 February 1945, the city was besieged during the Battle of Budapest. Budapest suffered major damage caused by the attacking Soviet and Romanian troops and the defending German and Hungarian troops."
What are the roles of Imami Shia?,"However, this category, according to Twelver scholars like Ayatollah al-Khoei, does include belief in God, Prophethood, the Day of Resurrection and other ""necessities"" . In this regard, Twelver Shias draw a distinction in terms of believing in the main principles of Islam on the one hand, and specifically Shia doctrines like Imamah on the other. Besides the Quran which is common to all Muslims, the Shiah derive guidance from books of traditions attributed to Muammad and the twelve imams. Below is a list of some of the most prominent of these books:

Nahj al-Balagha by Ali ibn Abi Talib - the most famous collection of sermons, letters & narration by first Imam regarded by Shias

al-Kafi by Muhammad ibn Ya'qub al-Kulayni

Wasa'il al-Shi'ah by al-Hurr al-Amili

The Twelve Imams are the spiritual and political successors to Muhammad for the Twelvers. [citation needed] According to the theology of Twelvers, the successor of Muhammad is an infallible human individual who not only rules over the community with justice but also is able to keep and interpret the divine law and its esoteric meaning. The words and deeds of Muhammad and the imams are a guide and model for the community to follow; as a result, they must be free from error and sin, and Imams must be chosen by divine decree, or nass, through Muhammad."
How are firms that spend large amounts of money on research and development perceived?,"Although Allergan tops the spending table with 43.4% investment, anything over 15% is remarkable and usually gains a reputation for being a high technology company. Companies in this category include pharmaceutical companies such as Merck & Co. or Novartis , and engineering companies like Ericsson . Such companies are often seen as credit risks because their spending ratios are so unusual. Generally such firms prosper only in markets whose customers have extreme needs, such as medicine, scientific instruments, safety-critical mechanisms or high technology military armaments. The extreme needs justify the high risk of failure and consequently high gross margins from 60% to 90% of revenues. That is, gross profits will be as much as 90% of the sales cost, with manufacturing costing only 10% of the product price, because so many individual projects yield no exploitable product."
How is the World Cup trophy awarded?,"The new trophy is 36 cm high, made of solid 18 carat gold and weighs 6.175 kg . The base contains two layers of semi-precious malachite while the bottom side of the trophy bears the engraved year and name of each FIFA World Cup winner since 1974. The description of the trophy by Gazzaniga was: ""The lines spring out from the base, rising in spirals, stretching out to receive the world. From the remarkable dynamic tensions of the compact body of the sculpture rise the figures of two athletes at the stirring moment of victory."" This new trophy is not awarded to the winning nation permanently. World Cup winners retain the trophy only until the post-match celebration is finished."
How did cricket spread globally?,"There are various formats ranging from Twenty20, played over a few hours with each team having a single innings of 20 overs , to Test cricket, played over five days with unlimited overs and the teams playing two innings apiece. Traditionally cricketers play in all-white kit, but in limited overs cricket they wear club or team colours. In addition to the basic kit, some players wear protective gear to prevent injury caused by the ball, which is a hard, solid object made of compressed leather enclosing a cork core. Although cricket's origins are uncertain, it is first recorded in south-east England in the 16th century. It spread globally with the expansion of the British Empire, leading to the first international matches in the mid-19th century. ICC, the game's governing body, has over 100 members, ten of which are full members who play Test cricket."
What is the relationship between urban area and population density?,"City population and especially area are, however, heavily dependent on the definition of ""urban area"" used: densities are almost invariably higher for the central city area than when suburban settlements and the intervening rural areas are included, as in the areas of agglomeration or metropolitan area, the latter sometimes including neighboring cities. For instance, Milwaukee has a greater population density when just the inner city is measured, and the surrounding suburbs excluded. In comparison, based on a world population of seven billion, the world's inhabitants, as a loose crowd taking up ten square feet per person , would occupy a space a little larger than Delaware's land area. [citation needed]

Although arithmetic density is the most common way of measuring population density, several other methods have been developed to provide a more accurate measure of population density over a specific area. Arithmetic density: The total number of people / area of land . Physiological density: The total population / area of arable land."
What Is The Council of Europe?,"The Council of Europe is an international organisation focused on promoting human rights, democracy and the rule of law in Europe. Founded in 1949, it has 47 member states, covers approximately 820 million people and operates with an annual budget of approximately half a billion euros. The organisation is distinct from the 28-nation European Union , although it is sometimes confused with it, partly because the EU has adopted the original European Flag which was created by the Council of Europe in 1955, as well as the European Anthem. No country has ever joined the EU without first belonging to the Council of Europe. Unlike the EU, the Council of Europe cannot make binding laws, but it does have the power to enforce select international agreements reached by European states on various topics. The best known body of the Council of Europe is the European Court of Human Rights, which enforces the European Convention on Human Rights. The Council's two statutory bodies are the Committee of Ministers, comprising the foreign ministers of each member state, and the Parliamentary Assembly, composed of members of the national parliaments of each member state."
What are the details of Lisbon's status as a capital city?,"Unlike most capital cities, Lisbon's status as the capital of Portugal has never been granted or confirmed officially - by statute or in written form. Its position as the capital has formed through constitutional convention, making its position as de facto capital a part of the Constitution of Portugal. Lisbon enjoys a Mediterranean climate. It has the warmest winters of any metropolis in Europe, with average temperatures 15 degC during the day and 8 degC at night from December to February. The typical summer season lasts about six months, from May to October, although also in April temperatures sometimes reach around 25 degC . The claim that the name of Lisbon can be traced back to Phoenician times is often repeated in non-academic literature, usually referring to the supposed Phoenician term Alis-Ubo, meaning ""safe harbour"", while Roman authors of the first century AD referred to popular legends that the city of Lisbon was founded by the mythical hero Odysseus on his journey home from Troy."
"Why is the name ""British Isles"" controversial?","As a result, Britain and Ireland is used as an alternative description, and Atlantic Archipelago has had limited use among a minority in academia, while British Isles is still commonly employed. Within them, they are also sometimes referred to as these islands. The earliest known references to the islands as a group appeared in the writings of sea-farers from the ancient Greek colony of Massalia. The original records have been lost; however, later writings, e.g. Avienus's Ora maritima, that quoted from the Massaliote Periplus and from Pytheas's On the Ocean have survived. In the 1st century BC, Diodorus Siculus has Prettanike nesos, ""the British Island"", and Prettanoi, ""the Britons""."
Why was the government criticized in 2011?,"The government came under criticism for its alleged use of excessive force on 26 May 2011 when it dispersed protesters led by Nino Burjanadze, among others, with tear gas and rubber bullets after they refused to clear Rustaveli avenue for an independence day parade despite the expiration of their demonstration permit and despite being offered to choose an alternative venue. While human rights activists maintained that the protests were peaceful, the government pointed out that many protesters were masked and armed with heavy sticks and molotov cocktails. Georgian opposition leader Nino Burjanadze said the accusations of planning a coup were baseless, and that the protesters' actions were legitimate. Georgia is divided into 9 regions, 1 city, and 2 autonomous republics. These in turn are subdivided into 64 districts and 12 self-governing cities. Georgia contains two official autonomous regions, of which one has declared independence."
What is the syntax of Spanish?,"Miguel de Cervantes Saavedra, author of Don Quixote, is such a well-known reference in the world that Spanish is often called la lengua de Cervantes . In the twentieth century, Spanish was introduced to Equatorial Guinea and the Western Sahara, and to areas of the United States that had not been part of the Spanish Empire, such as Spanish Harlem in New York City. For details on borrowed words and other external influences upon Spanish, see Influences on the Spanish language. Spanish is a relatively inflected language, with a two-gender noun system and about fifty conjugated forms per verb, but with inflection of nouns, adjectives, and determiners limited to number and gender. Spanish syntax is considered right-branching, meaning that subordinate or modifying constituents tend to be placed after their head words. The language uses prepositions , and usually--though not always--places adjectives after nouns, as do most other Romance languages."
Why might a capital city be symbolically relocated?,"In 1877, the British formally held a 'Durbar' in Delhi, proclaiming Queen Victoria as 'Empress of India'. Delhi finally became the colonial capital after the Coronation Durbar of King-Emperor George V in 1911, continuing as independent India's capital from 1947. Other examples include Abuja, Astana, Brasilia, Helsinki, Islamabad, Naypyidaw and Yamoussoukro. The selection or founding of a ""neutral"" capital city, one unencumbered by regional or political identities, was meant to represent the unity of a new state when Ankara, Turkey; Bern, Switzerland; Canberra, Australia; Madrid; Ottawa; Washington, DC; and Wellington, New Zealand became capital cities. Sometimes, the location of a new capital city was chosen to terminate squabbling or possible squabbling between various entities, such as in the cases of Canberra, Ottawa, Washington, and Wellington. The British-built town of New Delhi represented a simultaneous break and continuity with the past, the location of Delhi being where many imperial capitals were built but the actual capital being the new British-built town designed by Edwin Lutyens."
What was Japan's role in Korea?,"Korea was considered to be part of the Empire of Japan as an industrialized colony along with Taiwan, and both were part of the Greater East Asia Co-Prosperity Sphere. In 1937, the colonial Governor-General, General Jiro Minami, commanded the attempted cultural assimilation of Korea's 23.5 million people by banning the use and study of Korean language, literature, and culture, to be replaced with that of mandatory use and study of their Japanese counterparts. Starting in 1939, the populace was required to use Japanese names under the Soshi-kaimei policy. Conscription of Koreans for labor in war industries began in 1939, with as many as 2 million Koreans conscripted into either the Japanese Army or into the Japanese labor force. In China, the Nationalist National Revolutionary Army and the communist People's Liberation Army helped organize Korean refugees against the Japanese military, which had also occupied parts of China. The Nationalist-backed Koreans, led by Yi Pom-Sok, fought in the Burma Campaign ."
What does The Ahmadiyya movement's name refer to?,"According to him, ""Muhammad"", which means ""the most praised one"", refers to the glorious destiny, majesty and power of the prophet, who adopted the name from about the time of the Hegira; but ""Ahmad"", an Arabic elative form which means ""highly praised"" and also ""comforter"", stands for the beauty of his sermons, for the qualities of gentleness, humility, love and mercy displayed by Muhammad, and for the peace that he was destined to establish in the world through his teachings. According to Ahmad, these names thus refer to two aspects or phases of Islam, and in later times it was the latter aspect that commanded greater attention. The myriad distinguishing names adopted by various sects and schools of thought in Islam after their respective leaders, he thus considered as innovations , for the Prophet of Islam had only these two names. Accordingly, in Ahmad's view, this was the reason that the Old Testament prophesied a Messenger ""like unto Moses"", which referred to Muhammad, while according to the Quran, Jesus foretold a messenger named Ahmad. [Quran 61:6] He also called it the Ahmadiyya madhab :

""And it is permissible that this [community] also be referred to as 'Muslims of the Ahmadi way ."" Ahmadi beliefs are more aligned with the Sunni tradition, than they are with the Shi'a tradition, such as[clarification needed] The Five Pillars of Islam and The Six articles of Islamic Faith."
What were the political and geographical outcomes of the Korean War?,"The Korean War was the first armed confrontation of the Cold War and set the standard for many later conflicts. It is often viewed as an example of the proxy war, where the two superpowers would fight in another country, forcing the people in that country to suffer most of the destruction and death involved in a war between such large nations. The superpowers avoided descending into an all-out war against one another, as well as the mutual use of nuclear weapons. It expanded the Cold War, which to that point had mostly been concerned with Europe. A heavily guarded demilitarized zone still divides the peninsula, and an anti-communist and anti-North Korea sentiment remains in South Korea. Since the war, the United States has maintained a strong military presence in the South which is depicted by the North Korean government as an imperialist occupation force."
What was the role of Cologne in Protestant-Catholic conflicts?,"These conflicts alienated the Catholic population from Berlin and contributed to a deeply felt anti-Prussian resentment, which was still significant after World War II, when the former mayor of Cologne, Konrad Adenauer, became the first West German chancellor. During the 19th and 20th centuries, Cologne absorbed numerous surrounding towns, and by World War I had already grown to 700,000 inhabitants. Industrialisation changed the city and spurred its growth. Vehicle and engine manufacturing were especially successful, though heavy industry was less ubiquitous than in the Ruhr area. The cathedral, started in 1248 but abandoned around 1560, was eventually finished in 1880 not just as a place of worship but also as a German national monument celebrating the newly founded German empire and the continuity of the German nation since the Middle Ages. Some of this urban growth occurred at the expense of the city's historic heritage with much being demolished and sometimes replaced by contemporary buildings."
How can the .. veto resolutions?,"The five permanent members of the Security Council were the victorious powers in World War II and have maintained the world's most powerful military forces ever since. They annually top the list of countries with the highest military expenditures; in 2011, they spent over US$1 trillion combined on defense, accounting for over 60% of global military expenditures . They are also five of the world's six largest arms exporters, along with Germany and are the only nations officially recognized as ""nuclear-weapon states"" under the Treaty on the Non-Proliferation of Nuclear Weapons , though there are other states known or believed to be in possession of nuclear weapons. The ""power of veto"" refers to the veto power wielded solely by the permanent members, enabling them to prevent the adoption of any ""substantive"" draft Council resolution, regardless of the level of international support for the draft. The veto does not apply to procedural votes, which is significant in that the Security Council's permanent membership can vote against a ""procedural"" draft resolution, without necessarily blocking its adoption by the Council. The veto is exercised when any permanent member--the so-called ""P5""--casts a ""negative"" vote on a ""substantive"" draft resolution."
What kind of control does the Parliament have over budgets?,"On the latter occasion it led to the resignation of the Santer Commission; highlighting how the budgetary power gives Parliament a great deal of power over the Commission. Parliament also makes extensive use of its budgetary, and other powers, elsewhere; for example in the setting up of the European External Action Service, Parliament has a de facto veto over its design as it has to approve the budgetary and staff changes. Unlike most EU states, which usually operate parliamentary systems, there is a separation of powers between the executive and legislative which makes the European Parliament more akin to the United States Congress than an EU state legislature. The President of the European Commission is proposed by the European Council on the basis of the European elections to Parliament. That proposal has to be approved by the Parliament who ""elect"" the President according to the treaties. Following the approval of the Commission President, the members of the Commission are proposed by the President in accord with the member-states."
What are the origins of the Italian language?,"In fact the earliest surviving texts that can definitely be called Italian are legal formulae known as the Placiti Cassinesi from the Province of Benevento that date from 960-963, although the Veronese Riddle contains a late form of Vulgar Latin that can be seen as a very early Italian dialect. What would come to be thought of as Italian was first formalized in the early 14th century through the works of Tuscan writer Dante Alighieri, written in his native Florentine. Dante's epic poems, known collectively as the Commedia, to which another Tuscan poet Giovanni Boccaccio later affixed the title Divina, were read throughout Italy and his written dialect became the ""canonical standard"" that all educated Italians could understand. Dante is still credited with standardizing the Italian language, and thus the dialect of Florence became the basis for what would become the official language of Italy. Italian often was an official language of the various Italian states predating unification, slowly replacing Latin, even when ruled by foreign powers , even though the masses spoke primarily vernacular languages and dialects. Italian was also one of the many recognised languages in the Austro-Hungarian Empire."
Explain how advertisement found its way into Formula One.,"Previously, the circuit owners controlled the income of the teams and negotiated with each individually, however Ecclestone persuaded the teams to ""hunt as a pack"" through FOCA. He offered Formula One to circuit owners as a package which they could take or leave. In return for the package almost all that was required was to surrender trackside advertising. The formation of the Federation Internationale du Sport Automobile during 1979 set off the FISA-FOCA controversy, during which FISA and its president Jean-Marie Balestre disputed repeatedly with FOCA over television revenues and technical regulations. The Guardian said of FOCA that Ecclestone and Max Mosley ""used it to wage a guerrilla war with a very long-term aim in view"". FOCA threatened to establish a rival series, boycotted a Grand Prix and FISA withdrew its sanction from races."
What was Russia's role in the victory over Germany in WWII?,"Some scholars have described one or the other as the greatest novelist ever. Russian composers who reached a high status in the world of music include Igor Stravinsky, Pyotr Ilyich Tchaikovsky, Dmitri Shostakovich, Nikolai Rimsky-Korsakov, Sergei Prokofiev, Modest Mussorgsky, and Sergei Rachmaninoff. Russian people played a crucial role in the victory over Nazi Germany in World War II. Russia's casualties in this war were the highest of all nations, and numbered more than 20 million dead , which is about half of all World War II casualties and the vast majority of Allied casualties. According to the British historian Richard Overy, the Eastern Front included more combat than all the other European fronts combined. The Wehrmacht suffered 80% to 93% of all of its total World War II combat casualties on the Eastern Front.
"
What kinds of war crimes were committed by the Japanese military in World War II?,"The Imperial Japanese Army also engaged in the execution and harsh treatment of Allied prisoners of war. Biological experiments were conducted by Unit 731 on prisoners of war as well as civilians; this included the use of biological and chemical weapons authorized by Emperor Showa himself. According to the 2002 International Symposium on the Crimes of Bacteriological Warfare, the number of people killed in Far East Asia by Japanese germ warfare and human experiments was estimated to be around 580,000. The members of Unit 731, including Lieutenant General Shiro Ishii, received immunity from General MacArthur in exchange for germ warfare data based on human experimentation. The deal was concluded in 1948. In the administration of Japan dominated by the military political movement during World War II, the civil central government was under the management of military men and their right-wing civilian allies, along with members of the nobility and Imperial Family."
What characterized social order in the neolithic period?,"During most of the Neolithic age of Eurasia, people lived in small tribes composed of multiple bands or lineages. There is little scientific evidence of developed social stratification in most Neolithic societies; social stratification is more associated with the later Bronze Age. Although some late Eurasian Neolithic societies formed complex stratified chiefdoms or even states, states evolved in Eurasia only with the rise of metallurgy, and most Neolithic societies on the whole were relatively simple and egalitarian. Beyond Eurasia, however, states were formed during the local Neolithic in three areas, namely in the Preceramic Andes with the Norte Chico Civilization, Formative Mesoamerica and Ancient Hawai`i. However, most Neolithic societies were noticeably more hierarchical than the Paleolithic cultures that preceded them and hunter-gatherer cultures in general. The domestication of large animals resulted in a dramatic increase in social inequality in most of the areas where it occurred; New Guinea being a notable exception."
Why did the Georgia General Assembly vote to build the Western and Atlantic Railroad?,"J. Edgar Thomson, Chief Engineer of the Georgia Railroad, suggested the town be renamed ""Atlantica-Pacifica,"" which was shortened to ""Atlanta"". The residents approved, and the town was incorporated as Atlanta on December 29, 1847. By 1860, Atlanta's population had grown to 9,554. During the Civil War, the nexus of multiple railroads in Atlanta made the city a hub for the distribution of military supplies. In 1864, following the capture of Chattanooga, the Union Army moved southward and began its invasion of north Georgia. The region surrounding Atlanta was the location of several major army battles, culminating with the Battle of Atlanta and a four-month-long siege of the city by the Union Army under the command of General William Tecumseh Sherman."
How did Otto's decisive victory over the Magyars in the Battle of Lechfeld help form the kindom?,"Otto's coronation as Emperor marked the German kings as successors to the Empire of Charlemagne, which through the concept of translatio imperii, also made them consider themselves as successors to Ancient Rome. The kingdom had no permanent capital city. Kings traveled between residences to discharge affairs. However, each king preferred certain places; in Otto's case, this was the city of Magdeburg. Kingship continued to be transferred by election, but Kings often ensured their own sons were elected during their lifetimes, enabling them to keep the crown for their families. This only changed after the end of the Salian dynasty in the 12th century."
Why does downtown Boston's streets not form a planned grid?,"Boston is the eastern terminus of I-90, which in Massachusetts runs along the Massachusetts Turnpike. The elevated portion of the Central Artery, which carried most of the through traffic in downtown Boston, was replaced with the O'Neill Tunnel during the Big Dig, substantially completed in early 2006. With nearly a third of Bostonians using public transit for their commute to work, Boston has the fifth-highest rate of public transit usage in the country. Boston's subway system, the Massachusetts Bay Transportation Authority operates the oldest underground rapid transit system in the Americas, and is the fourth-busiest rapid transit system in the country, with 65.5 miles of track on four lines. The MBTA also operates busy bus and commuter rail networks, and water shuttles. Amtrak's Northeast Corridor and Chicago lines originate at South Station, which serves as a major intermodal transportation hub, and stop at Back Bay."
How did the World Bank combat its low reputation after the 1980s?,"During the 1980s the bank emphasized lending to service Third-World debt, and structural adjustment policies designed to streamline the economies of developing nations. UNICEF reported in the late 1980s that the structural adjustment programs of the World Bank had been responsible for ""reduced health, nutritional and educational levels for tens of millions of children in Asia, Latin America, and Africa"". Beginning in 1989, in response to harsh criticism from many groups, the bank began including environmental groups and NGOs in its loans to mitigate the past effects of its development policies that had prompted the criticism. :93-97 It also formed an implementing agency, in accordance with the Montreal Protocols, to stop ozone-depletion damage to the Earth's atmosphere by phasing out the use of 95% of ozone-depleting chemicals, with a target date of 2015. Since then, in accordance with its so-called ""Six Strategic Themes"", the bank has put various additional policies into effect to preserve the environment while promoting development. For example, in 1991 the bank announced that to protect against deforestation, especially in the Amazon, it would not finance any commercial logging or infrastructure projects that harm the environment."
Why did the Syrian Civil War happen?,"As the civil war has dragged on, there have been worries that the country could become fragmented and cease to function as a state. Syria lies between latitudes 32deg and 38deg N, and longitudes 35deg and 43deg E. It consists mostly of arid plateau, although the northwest part of the country bordering the Mediterranean is fairly green. The Northeast of the country ""al-Jazira"" and the South ""Hawran"" are important agricultural areas. The Euphrates, Syria's most important river, crosses the country in the east. It is considered to be one of the fifteen states that comprise the so-called ""Cradle of civilization"". Its land straddles the ""northwest of the Arabian plate""."
What are the economic conditions of East Asia?,"[citation needed]

In modern societies, a high level of structural differentiation, functional specialization, and autonomy of the economic system from government is a major contributor to industrial-commercial growth and prosperity. Currently in East Asia, trading systems are relatively open; and zero or low duties on imports of consumer and capital goods etc. have considerably helped stimulate cost-efficiency and change. Free and flexible labor and other markets are other important factors making for high levels of business-economic performance. East Asian populations have demonstrated highly positive work ethics. There are relatively large and fast-growing markets for consumer goods and services of all kinds."
What are the Mandarin Chinese dialects?,"Mandarin is a group of related varieties of Chinese spoken across most of northern and southwestern China. The group includes the Beijing dialect, the basis of Standard Chinese, which is also referred to as ""Mandarin"". Because most Mandarin dialects are found in the north, the group is sometimes referred to as the Northern dialects . Many local Mandarin varieties are not mutually intelligible. Nevertheless, Mandarin is often placed first in any list of languages by number of native speakers . Mandarin is by far the largest of the seven or ten Chinese dialect groups, with 70 per cent of Chinese speakers and a huge area stretching from Yunnan in the southwest to Xinjiang in the northwest and Heilongjiang in the northeast. This is attributed to the greater ease of travel and communication in the North China Plain compared to the more mountainous south, combined with the relatively recent spread of Mandarin to frontier areas."
What is the history of the faces on American money?,"In fact, the newly formed government was against having portraits of leaders on the currency, a practice compared to the policies of European monarchs. The currency as we know it today did not get the faces they currently have until after the early 20th century; before that ""heads"" side of coinage used profile faces and striding, seated, and standing figures from Greek and Roman mythology and composite Native Americans. The last coins to be converted to profiles of historic Americans were the dime and the Dollar . For articles on the currencies of the colonies and states, see Connecticut pound, Delaware pound, Georgia pound, Maryland pound, Massachusetts pound, New Hampshire pound, New Jersey pound, New York pound, North Carolina pound, Pennsylvania pound, Rhode Island pound, South Carolina pound and Virginia pound. During American Revolution, the thirteen colonies became independent states; freed from British monetary regulations, they issued PSsd paper money to pay for military expenses. The Continental Congress also began issuing ""Continental Currency"" denominated in Spanish dollars."
Why has Iceland experienced widespread deforestation?,"Deforestation, climatic deterioration during the Little Ice Age and overgrazing by sheep imported by settlers caused a loss of critical topsoil due to erosion. Today, many farms have been abandoned. Three quarters of Iceland's 100,000 square kilometres are affected by soil erosion 18,000 km2 serious enough to make the land useless. Only a few small birch stands now exist in isolated reserves. The planting of new forests has increased the number of trees, but the result does not compare to the original forests. Some of the planted forests include introduced species."
What was the United States Army role in the war of 1812?,"Following ending American victories in the Canadian province of Upper Canada, which dubbed the U.S. Army ""Regulars, by God! "", British troops were able to capture and burn Washington in 1814, which was defended by militia. The regular army, however, proved they were professional and capable of defeating the British army during the invasions of Plattsburgh and Baltimore, prompting British agreement on the previously rejected terms of a status quo ante bellum. Two weeks after a treaty was signed , Andrew Jackson defeated the British in the Battle of New Orleans and Siege of Fort St. Philip, and became a national hero. Little less known due to the intensity of the battles, U.S. troops and sailors captured HMS Cyane, Levant, and Penguin in the final engagements of the war. Per the treaty, both sides, the United States and Great Britain, returned to the geographical status quo."
"In Retrospect, How Did the Miami Of Yore Turn Into Today's MIAMI.","Miami was officially incorporated as a city on July 28, 1896 with a population of just over 300. It was named for the nearby Miami River, derived from Mayaimi, the historic name of Lake Okeechobee. Black labor played a crucial role in Miami's early development. During the beginning of the 20th century, migrants from the Bahamas and African-Americans constituted 40 percent of the city's population. :25 Whatever their role in the city's growth, their community's growth was limited to a small space. When landlords began to rent homes to African-Americans in neighborhoods close to Avenue J , a gang of white men with torches visited the renting families and warned them to move or be bombed."
What are the lower 48 and why is this term not ideal?,"The District of Columbia is not always specifically mentioned as being part of CONUS. OCONUS is derived from CONUS with O for outside added, thus referring to Outside of Continental United States . The term ""Lower 48"" is also used to refer to the conterminous United States. The National Geographic style guide recommends the use of contiguous or conterminous United States instead of lower 48 when the 48 states are meant, unless used in the context of Alaska. Both Alaskans and Hawaiians have unique labels for the contiguous United States because of their own locations relative to them. Alaska became the 49th state of the United States on January 3, 1959."
How did Freedom Rides affect the African-American Civil Rights Movement (1954-1968)?,"In Anniston, Alabama, one bus was firebombed, forcing its passengers to flee for their lives. In Birmingham, Alabama, an FBI informant reported that Public Safety Commissioner Eugene ""Bull"" Connor gave Ku Klux Klan members fifteen minutes to attack an incoming group of freedom riders before having police ""protect"" them. The riders were severely beaten ""until it looked like a bulldog had got a hold of them."" James Peck, a white activist, was beaten so badly that he required fifty stitches to his head. In a similar occurrence in Montgomery, Alabama, the Freedom Riders followed in the footsteps of Rosa Parks and rode an integrated Greyhound bus from Birmingham. Although they were protesting interstate bus segregation in peace, they were met with violence in Montgomery as a large, white mob attacked them for their activism."
What caused Russia to expand its territory to the Black Sea?,"In recent decades, regulations to save fishing stock may limit the use of a fishing port, perhaps effectively closing it. A dry port is an inland intermodal terminal directly connected by road or rail to a seaport and operating as a centre for the transshipment of sea cargo to inland destinations. A warm-water port is one where the water does not freeze in wintertime. Because they are available year-round, warm-water ports can be of great geopolitical or economic interest. Such settlements as Dalian in China, Vostochny Port, Murmansk and Petropavlovsk-Kamchatsky in Russia, Odessa in Ukraine, Kushiro in Japan and Valdez at the terminus of the Alaska Pipeline owe their very existence to being ice-free ports. The Baltic Sea and similar areas have ports available year-round thanks to icebreakers beginning in the 20th century, but earlier access problems prompted Russia to expand its territory to the Black Sea."
Why is possession of nuclear weapons a key issue for leaders around the world? What dangers does a nuclear arms race hold?,"By identifying unique attributes of the fissile material, including its impurities and contaminants, one could trace the path back to its origin."" The process is analogous to identifying a criminal by fingerprints. ""The goal would be twofold: first, to deter leaders of nuclear states from selling weapons to terrorists by holding them accountable for any use of their own weapons; second, to give leaders every incentive to tightly secure their nuclear weapons and materials."" Because of the immense military power they can confer, the political control of nuclear weapons has been a key issue for as long as they have existed; in most countries the use of nuclear force can only be authorized by the head of government or head of state. Controls and regulations governing nuclear weapons are man-made, and so are imperfect. Therefore, there is an inherent danger of ""accidents, mistakes, false alarms, blackmail, theft, and sabotage""."
How much of the earth is covered by alpine climates?,"As the altitude increases, the main form of precipitation becomes snow and the winds increase. The temperature continues to drop until the tropopause, at 11,000 metres , where it does not decrease further. However, this is higher than the highest summit. Although this climate classification only covers a small portion of the Earth's surface, alpine climates are widely distributed. For example, The Sierra Nevada, the Cascade Mountains, the Rocky Mountains, the Appalachian Mountains, the summit of Mauna Loa in Hawaii, the Alps, the Snowy Mountains in Australia, the Spanish Pyrenees, Cantabrian Mountains and Sierra Nevada, the Andes, the Himalayas, the Tibetan Plateau, Gansu China, Qinghai, the Eastern Highlands of Africa, high elevations in the Atlas Mountains and the central parts of Borneo and New Guinea. The lowest altitude of alpine climate varies dramatically by latitude."
How did the holiday Passover originate?,"Passover is a week-long holiday beginning on the evening of the 14th day of Nisan , that commemorates the Exodus from Egypt. Outside Israel, Passover is celebrated for eight days. In ancient times, it coincided with the barley harvest. It is the only holiday that centers on home-service, the Seder. Leavened products are removed from the house prior to the holiday, and are not consumed throughout the week. Homes are thoroughly cleaned to ensure no bread or bread by-products remain, and a symbolic burning of the last vestiges of chametz is conducted on the morning of the Seder."
